,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,1987.92544635,5076.56363636,35.2087458779
1,0.0,7000.0,100.0,2021.20091599,6139.87727273,47.1374465979
2,0.0,14000.0,200.0,2100.04796915,7392.35,59.7522901186
3,0.0,21000.0,300.0,2163.79449786,8377.77727273,69.9542211362
4,0.0,28000.0,400.0,2184.98224629,8947.48181818,75.5782100367
5,0.0,35000.0,500.0,2213.92593963,9424.23181818,81.5322572251
6,0.0,42000.0,600.0,2225.24360507,9913.77727273,86.3303879942
7,0.0,52500.0,750.0,2257.49699179,10526.3772727,93.1188957691
8,0.0,70000.0,1000.0,2269.60840767,11321.2590909,101.108046557
9,0.0,87500.0,1250.0,2314.01324651,11965.4863636,108.517767231
10,0.0,105000.0,1500.0,2333.54117915,12544.1454545,113.727631583
11,0.0,140000.0,2000.0,2378.82960133,13362.7590909,120.886139349
12,0.1,3500.0,50.0,1985.92408141,5069.36818182,35.2148200439
13,0.1,7000.0,100.0,2022.55312727,6145.16818182,47.2611438318
14,0.1,14000.0,200.0,2101.91086281,7410.17727273,59.8545906921
15,0.1,21000.0,300.0,2163.31847786,8376.15909091,69.8126099435
16,0.1,28000.0,400.0,2184.92779019,8946.55,75.7318777915
17,0.1,35000.0,500.0,2214.5704292,9430.62272727,81.5962235819
18,0.1,42000.0,600.0,2226.07242718,9905.86363636,86.2493127152
19,0.1,52500.0,750.0,2258.87802749,10535.1727273,93.1229023964
20,0.1,70000.0,1000.0,2269.9369205,11319.6363636,101.127895044
21,0.1,87500.0,1250.0,2313.37684064,11958.25,108.300235618
22,0.1,105000.0,1500.0,2333.67766218,12525.6181818,113.668918495
23,0.1,140000.0,2000.0,2378.51869077,13355.5909091,120.778980932
24,0.2,3500.0,50.0,1999.71810743,5090.19090909,35.561443997
25,0.2,7000.0,100.0,2018.82044656,6152.67727273,47.4518831814
26,0.2,14000.0,200.0,2100.00852846,7437.66363636,60.3785529534
27,0.2,21000.0,300.0,2143.53420928,8374.38181818,69.8262036969
28,0.2,28000.0,400.0,2186.16154574,8928.09545455,75.3569589074
29,0.2,35000.0,500.0,2215.73631537,9423.9,81.4399406395
30,0.2,42000.0,600.0,2228.20651325,9903.83181818,86.1379644954
31,0.2,52500.0,750.0,2255.42905613,10514.2363636,92.7779821889
32,0.2,70000.0,1000.0,2268.83655355,11293.4772727,100.677003421
33,0.2,87500.0,1250.0,2319.63798203,11960.1,108.07831216
34,0.2,105000.0,1500.0,2333.00714936,12464.0545455,113.174520479
35,0.2,140000.0,2000.0,2380.55395535,13380.4272727,121.067763697
36,0.3,3500.0,50.0,2000.6534858,5103.75,35.7920256175
37,0.3,7000.0,100.0,2032.36179113,6178.12272727,47.5088070383
38,0.3,14000.0,200.0,2106.05562356,7418.9,60.1686203184
39,0.3,21000.0,300.0,2162.87314806,8353.65,69.6222239372
40,0.3,28000.0,400.0,2170.60189266,8900.74090909,75.1354557699
41,0.3,35000.0,500.0,2222.02703486,9404.57727273,81.1271102296
42,0.3,42000.0,600.0,2223.83665805,9836.04090909,85.678068212
43,0.3,52500.0,750.0,2257.59214077,10505.7590909,92.8848747874
44,0.3,70000.0,1000.0,2286.59632855,11284.7454545,100.40336863
45,0.3,87500.0,1250.0,2317.99185023,11938.4045455,107.676768373
46,0.3,105000.0,1500.0,2332.3237863,12467.8818182,113.215596561
47,0.3,140000.0,2000.0,2381.21909346,13363.45,121.248771077
48,0.4,3500.0,50.0,1993.20910107,5148.70909091,36.3879156339
49,0.4,7000.0,100.0,2021.16760609,6245.71363636,48.702208458
50,0.4,14000.0,200.0,2128.58627233,7438.35909091,60.134230054
51,0.4,21000.0,300.0,2159.86246922,8319.13181818,69.0957260024
52,0.4,28000.0,400.0,2168.0028419,8891.95909091,75.0190982497
53,0.4,35000.0,500.0,2223.19020491,9445.60909091,81.2458240086
54,0.4,42000.0,600.0,2217.24506103,9816.04545455,86.0609135212
55,0.4,52500.0,750.0,2256.88566121,10530.1590909,92.8212516104
56,0.4,70000.0,1000.0,2272.61345679,11264.1409091,100.18203355
57,0.4,87500.0,1250.0,2312.05473619,11882.4772727,106.932526706
58,0.4,105000.0,1500.0,2334.61387215,12463.6954545,113.135241201
59,0.4,140000.0,2000.0,2379.46086113,13357.5545455,120.895674056
60,0.5,3500.0,50.0,2013.57054156,5183.92272727,36.2572129628
61,0.5,7000.0,100.0,2041.8630289,6258.35454545,48.4746571265
62,0.5,14000.0,200.0,2135.78799599,7465.76818182,60.3418761984
63,0.5,21000.0,300.0,2168.33012738,8296.56363636,68.6399360614
64,0.5,28000.0,400.0,2203.21219627,8953.09090909,75.472197728
65,0.5,35000.0,500.0,2223.68774561,9436.79090909,81.0562381834
66,0.5,42000.0,600.0,2242.68475603,9819.00454545,85.9548383589
67,0.5,52500.0,750.0,2257.7106711,10536.8954545,92.8551658862
68,0.5,70000.0,1000.0,2274.89583085,11240.8909091,99.9253386299
69,0.5,87500.0,1250.0,2285.99501362,11858.8727273,106.549063996
70,0.5,105000.0,1500.0,2335.1400522,12477.5863636,112.934648808
71,0.5,140000.0,2000.0,2376.3483798,13291.7318182,120.145575335
72,0.6,3500.0,50.0,2040.1621587,5194.94090909,36.1359986688
73,0.6,7000.0,100.0,2046.56511748,6207.3,48.0124139734
74,0.6,14000.0,200.0,2097.20528262,7362.88636364,60.0793334495
75,0.6,21000.0,300.0,2117.2347991,8219.56818182,68.5122687291
76,0.6,28000.0,400.0,2191.80125726,8943.20454545,75.6225160364
77,0.6,35000.0,500.0,2222.50706024,9410.49090909,80.0962429898
78,0.6,42000.0,600.0,2254.50806763,9863.95909091,86.1735600335
79,0.6,52500.0,750.0,2256.60126448,10427.4363636,91.5892472077
80,0.6,70000.0,1000.0,2280.37305297,11212.6227273,99.8417552894
81,0.6,87500.0,1250.0,2297.05843708,11853.8954545,106.45689991
82,0.6,105000.0,1500.0,2334.38054688,12382.0272727,111.442659106
83,0.6,140000.0,2000.0,2372.80082151,13211.0,119.353962556
84,0.7,3500.0,50.0,1994.93824348,5127.08636364,36.1575084469
85,0.7,7000.0,100.0,2037.93680997,6125.89545455,47.5398036186
86,0.7,14000.0,200.0,2099.45561377,7353.03636364,59.2889546898
87,0.7,21000.0,300.0,2139.01315923,8107.51363636,67.7567377256
88,0.7,28000.0,400.0,2157.54091831,8804.55,74.6775119612
89,0.7,35000.0,500.0,2231.99618604,9430.33181818,80.4036194166
90,0.7,42000.0,600.0,2265.55734995,9925.09090909,86.1547355473
91,0.7,52500.0,750.0,2265.13303249,10362.9727273,91.1828434285
92,0.7,70000.0,1000.0,2276.76688456,11182.4954545,100.022190824
93,0.7,87500.0,1250.0,2303.07667097,11853.1636364,106.255580865
94,0.7,105000.0,1500.0,2335.1740575,12352.8590909,111.10520593
95,0.7,140000.0,2000.0,2370.75634327,13055.3363636,118.015295172
96,0.8,3500.0,50.0,2006.00105396,4862.50909091,33.3654233206
97,0.8,7000.0,100.0,2052.59229235,5909.93636364,45.1276406741
98,0.8,14000.0,200.0,2072.50557145,7225.66818182,58.5581428855
99,0.8,21000.0,300.0,2132.89158005,8065.28636364,66.9537850942
100,0.8,28000.0,400.0,2129.79058137,8667.31818182,74.0418151326
101,0.8,35000.0,500.0,2222.23654616,9300.65454545,79.707125668
102,0.8,42000.0,600.0,2239.6305657,9789.09545455,84.2143351232
103,0.8,52500.0,750.0,2259.99671661,10376.8090909,90.288190324
104,0.8,70000.0,1000.0,2293.13989698,11119.5727273,98.8468999935
105,0.8,87500.0,1250.0,2306.14278065,11707.1545455,105.1989524
106,0.8,105000.0,1500.0,2315.37411183,12149.85,109.423538205
107,0.8,140000.0,2000.0,2369.75042578,12853.9636364,115.282768789
108,0.9,3500.0,50.0,2028.29932463,4737.86818182,30.4234072738
109,0.9,7000.0,100.0,1990.71382131,5723.60454545,42.078463903
110,0.9,14000.0,200.0,2064.13965839,7011.18636364,55.6592574713
111,0.9,21000.0,300.0,2150.89764089,7977.56363636,65.3545276892
112,0.9,28000.0,400.0,2156.8640641,8493.32272727,71.0921266425
113,0.9,35000.0,500.0,2182.88162819,9066.53636364,77.8237182476
114,0.9,42000.0,600.0,2182.60011537,9472.03181818,82.2906969477
115,0.9,52500.0,750.0,2225.04265469,10037.4909091,87.0641352954
116,0.9,70000.0,1000.0,2244.39744899,10669.6045455,94.2419444031
117,0.9,87500.0,1250.0,2279.26934197,11220.5227273,100.025042637
118,0.9,105000.0,1500.0,2306.34397518,11719.4681818,104.348122878
119,0.9,140000.0,2000.0,2347.73855107,12525.6090909,111.939313636
