N,t,S,SH,Epi,D,proportion_cancer,sd_S,sd_SH,sd_Epi,sd_D,sd_in_proportion
100,0,49395.300000000003,9540.6023284389339,1175.2627336683418,-8365.3395947705958,0.0,1972.0049213934533,380.8887636017883,16.33738845426705,372.84986707998871,0.0
100,1e-05,47668.199999999997,9207.0164552597689,1156.6179547738693,-8050.3985004859005,0.0,1871.206819141059,361.41981394359402,25.883389713014946,342.36102433187614,0.0
100,0.1,62778.0,12125.443776528122,1362.4248592964825,-10763.01891723164,0.099999999999999992,2814.7144793033626,543.65641093651539,21.185804671079719,529.69325249761869,1.3877787807814457e-17
100,0.2,74922.100000000006,14471.052138797309,1558.7143115577887,-12912.337827239522,0.19999999999999998,3039.2234353531826,587.01986188922342,35.806788939319823,559.28513253924677,2.7755575615628914e-17
100,0.3,84468.800000000003,16314.977942444782,1721.0825728643217,-14593.895369580461,0.29999999999999993,2215.5403313864545,427.92713566626753,33.525863305791589,396.92305103589536,5.5511151231257827e-17
100,0.4,96953.600000000006,18726.391820892619,1909.207336683417,-16817.184484209203,0.39999999999999997,1327.721446689779,256.4467130639315,27.869022373123116,246.90999250711536,5.5511151231257827e-17
100,0.5,103460.39999999999,19983.167085557205,2038.4530251256285,-17944.714060431572,0.5,2754.3028954710121,531.98803565838944,25.664393494410071,510.2948146570962,0.0
100,0.6,111706.60000000001,21575.903943533027,2165.7731557788948,-19410.130787754133,0.59999999999999987,1612.8618167716663,311.52099905339179,25.337734133647267,301.2040290138674,1.1102230246251565e-16
100,0.7,118732.7,22932.980953285871,2291.4817085427139,-20641.499244743161,0.70000000000000007,3008.0613707170273,581.00097210767228,28.451435025668406,565.03636195982745,1.1102230246251565e-16
100,0.8,126877.8,24506.190550663923,2424.0725778894471,-22082.117972774482,0.79999999999999993,3810.2747617461919,735.94686668383076,38.030524228899885,707.65774379667266,1.1102230246251565e-16
100,0.9,129521.2,25016.757916283634,2495.0208643216083,-22521.737051962027,0.90000000000000013,1970.7562913764859,380.64759323847005,30.419884243490255,369.26822352431719,1.1102230246251565e-16
100,1,131673.0,25432.373735811707,2595.9028341708545,-22836.470901640852,1.0,3642.32145753227,703.50702553999031,36.132079167047898,669.1429108714234,0.0
1100,0,48150.099999999999,9300.0944659627057,1180.5326783919595,-8119.5617875707449,0.0,1956.5505590196231,377.9037847546449,19.423247812102414,373.88414097307759,0.0
1100,1e-05,47073.800000000003,9092.2092970073827,1167.1682060301507,-7925.0410909772327,0.0,2767.1746168248942,534.47418261406892,33.019861061711907,518.30985373122064,0.0
1100,0.1,62518.800000000003,12075.379820574188,1356.7257889447237,-10718.654031629463,0.099999999999999992,3022.7444417284105,583.83697758754192,39.645802689720469,551.50834141218184,1.3877787807814457e-17
1100,0.2,74397.899999999994,14369.803968615781,1544.9670351758793,-12824.836933439903,0.19999999999999998,3614.0161994656305,698.03992217149892,52.065868321537224,652.86430750930481,2.7755575615628914e-17
1100,0.3,82936.100000000006,16018.940036231066,1693.6180050251255,-14325.322031205942,0.29999999999999993,4650.2653354405493,898.18934771451904,72.045584367351594,829.86136223156416,5.5511151231257827e-17
1100,0.4,93640.600000000006,18086.492569058573,1867.2449195979898,-16219.247649460585,0.39999999999999997,5273.8160036163563,1018.6268985887468,84.021629517381456,940.0962975037977,5.5511151231257827e-17
1100,0.5,102748.7,19845.703669459923,2040.8069346733669,-17804.896734786558,0.5,6587.8413012154451,1272.4282281464484,84.434668760316811,1193.7088019234573,0.0
1100,0.6,111968.60000000001,21626.508713825966,2170.1781959798996,-19456.330517846069,0.59999999999999987,4982.2641880976162,962.31425487570846,74.100304957832606,893.30966106582832,1.1102230246251565e-16
1100,0.7,120643.5,23302.048110063566,2317.7978693467335,-20984.250240716829,0.70000000000000007,4497.7504655105085,868.73140893945106,73.701847136250706,800.52963719107174,1.1102230246251565e-16
1100,0.8,125330.5,24207.332683968234,2393.3049648241204,-21814.027719144116,0.79999999999999993,4406.4785089683573,851.10241506539376,66.127892730738679,791.1487260587636,1.1102230246251565e-16
1100,0.9,128167.39999999999,24755.274183373003,2496.0347638190951,-22259.239419553909,0.90000000000000013,2835.3295822531809,547.638176392015,40.090189398565755,527.51475835766576,1.1102230246251565e-16
1100,1,131924.5,25480.950452333367,2585.9877185929645,-22894.962733740405,1.0,3815.7710688666843,737.00846729181569,30.809651220374153,711.66739276491876,0.0
1562,0,48730.699999999997,9412.2361821156901,1174.0340954773869,-8238.2020866383045,0.0,1888.2730231616401,364.71611674601388,17.207601209435648,357.19756491813166,0.0
1562,1e-05,48374.900000000001,9343.5141314659631,1168.8185376884421,-8174.6955937775201,0.0,1017.2749333390655,196.48459666561905,35.936652462451804,186.38087551905821,0.0
1772,0.1,66914.800000000003,12924.45833281761,1433.3497989949747,-11491.108533822637,0.118510158013544,3763.0985849429985,726.83488351427036,61.012359573356704,673.4158887647045,1.3877787807814457e-17
1982,0.2,77829.600000000006,15032.629885464226,1609.0248291457283,-13423.605056318494,0.21190716448032293,3382.3034222257475,653.28506772049047,56.201253529028179,600.21972612776574,2.7755575615628914e-17
2100,0.3,87040.0,16811.600024037209,1758.4323115577888,-15053.167712479419,0.29999999999999993,3028.4222294785777,584.9336308122347,53.279456539018909,542.4277621978249,5.5511151231257827e-17
2100,0.4,92602.699999999997,17886.024282466802,1868.2915276381907,-16017.732754828607,0.39999999999999997,4684.6666274133104,904.83388770712213,68.352572958217365,838.96599822849714,5.5511151231257827e-17
2100,0.5,102739.5,19843.926708060324,2029.1472412060302,-17814.779466854296,0.5,3854.1438284008032,744.42008821445097,60.768702240407222,685.64276766428702,0.0
2100,0.6,111640.3,21563.098232577217,2171.2246432160805,-19391.873589361137,0.59999999999999987,3109.8318298583285,600.65773053306418,59.843298260940685,546.30480724998938,1.1102230246251565e-16
2100,0.7,118787.0,22943.468888503074,2285.7694271356781,-20657.699461367396,0.70000000000000007,3559.7778863294266,687.5639016473217,53.159708797176755,642.05178337350299,1.1102230246251565e-16
2100,0.8,122892.0,23736.341339085255,2386.2944773869344,-21350.04686169832,0.79999999999999993,2615.4949436005413,505.17756039411853,49.229745368024325,474.96655023165749,1.1102230246251565e-16
2100,0.9,128966.10000000001,24909.541473575195,2496.3877638190957,-22413.153709756098,0.90000000000000013,2302.3140728406279,444.68730839049471,36.164414354047004,430.93399633367414,1.1102230246251565e-16
2100,1,132617.0,25614.705427248875,2578.0895577889446,-23036.615869459933,1.0,3420.8920181730377,660.7383770099558,40.015737403745938,626.09166466034867,0.0
1562,0,49160.300000000003,9495.2125535578634,1168.3212562814069,-8326.8912972764538,0.0,1660.1794511437611,320.66030446638945,26.084337286675673,305.36406702431628,0.0
1562,1e-05,48219.300000000003,9313.4603060553454,1157.5388140703517,-8155.9214919849937,0.0,1334.345536208669,257.72614256203565,26.858999478905648,243.43693598201475,0.0
1872,0.1,68674.300000000003,13264.302200491022,1449.9313919597989,-11814.370808531221,0.16559829059829062,4654.2965966942847,898.96797767534395,77.573547632417828,825.00560409254092,2.7755575615628914e-17
2182,0.2,86647.399999999994,16735.770127789081,1728.9307437185932,-15006.839384070487,0.28414298808432636,6246.5630581944824,1206.511025497384,88.702347744799923,1122.6545562639478,5.5511151231257827e-17
2492,0.3,91841.100000000006,17738.922782256472,1854.578055276382,-15884.344726980091,0.37319422150882831,3910.3328873639384,755.27289135111539,59.294549582526756,709.89157422481696,5.5511151231257827e-17
2802,0.4,97435.5,18819.469831595557,1923.7940100502515,-16895.675821545308,0.44254104211277656,6724.7070754048464,1298.8635757182819,102.49779667440612,1199.1301869771933,0.0
3100,0.5,102968.8,19888.21553946556,2011.9314673366837,-17876.284072128878,0.5,3862.0735829344317,745.95170427038011,62.777711191076776,691.0668973295077,0.0
3100,0.6,110200.89999999999,21285.081032731177,2130.4361005025121,-19154.644932228664,0.59999999999999987,4088.6097258114528,789.70670226023162,65.799782988628294,727.28837497288737,1.1102230246251565e-16
3100,0.7,119082.3,23000.505486470654,2285.2145326633167,-20715.29095380734,0.70000000000000007,3667.0497692286644,708.28324894887646,31.772289907693786,681.1245537307733,1.1102230246251565e-16
3100,0.8,124375.60000000001,24022.895679568501,2390.6207839195981,-21632.274895648898,0.79999999999999993,4830.0397348262049,932.91240949109488,63.432458459435658,872.68503035311608,1.1102230246251565e-16
3100,0.9,130143.10000000001,25136.876643937001,2511.7322010050252,-22625.144442931974,0.90000000000000013,2806.8132980303481,542.13031374810316,34.780414483122236,517.16386906418893,1.1102230246251565e-16
3100,1,122405.5,23642.374847682517,2600.8095879396983,-21041.56525974282,1.0,34253.003439844513,6615.8983622775322,26.408943977111385,6604.1233028323231,0.0
1562,0,47880.599999999999,9248.0410858331325,1163.5096532663317,-8084.5314325668005,0.0,1690.6781597926911,326.55106838016997,12.691544360849194,319.47709185310765,0.0
1562,1e-05,48674.800000000003,9401.4392101333433,1167.5322613065325,-8233.9069488268105,0.0,1057.9409057220539,204.33914701363528,24.189908857467081,191.26768414925934,0.0
1972,0.1,78072.300000000003,15079.506899777572,1613.5468592964824,-13465.960040481092,0.2079107505070994,3152.7736376086373,608.95185388103459,45.795236833507843,568.62762149746573,0.0
2382,0.2,90541.399999999994,17487.888354967399,1802.7747788944725,-15685.113576072923,0.34424853064651556,3472.6998200247599,670.74494919349979,57.675453538094956,618.39764964854294,0.0
2792,0.3,97523.199999999997,18836.408909285215,1926.0642562814069,-16910.344653003809,0.44054441260744992,4781.8118909049526,923.59729894392376,71.564836535549588,859.79063621446096,5.5511151231257827e-17
3202,0.4,103114.60000000001,19916.376514689648,2025.0761959798995,-17891.300318709746,0.51217988757026855,3463.5085159416021,668.96966739265804,71.622406368434966,601.24360166189285,0.0
3612,0.5,108983.5,21049.942684049391,2124.4768241206029,-18925.465859928783,0.56755260243632322,4442.7774477234398,858.11348169737289,57.289950146161807,809.80251878054264,1.1102230246251565e-16
4022,0.6,113455.10000000001,21913.623183446045,2202.2327738693471,-19711.390409576699,0.61163600198906021,4195.0180798180127,810.25926070203343,58.900878970995571,760.66043617107061,0.0
4100,0.7,118155.7,22821.534569854466,2272.9225175879396,-20548.612052266526,0.70000000000000007,3909.5417647084932,755.12008760969411,58.398209566275924,711.96819578409531,1.1102230246251565e-16
4100,0.8,126587.0,24450.023118598321,2416.4537386934671,-22033.569379904853,0.79999999999999993,2693.5158807773901,520.24714666844852,54.938444126655149,473.71453862203452,1.1102230246251565e-16
4100,0.9,132329.79999999999,25559.233327904854,2518.8961708542715,-23040.337157050584,0.90000000000000013,3623.6622027998142,699.90302821337445,31.993255841060137,671.49184345553215,1.1102230246251565e-16
4100,1,133093.10000000001,25706.663179678151,2591.773869346734,-23114.889310331419,1.0,2823.4155716082605,545.33700932348881,26.737020370602565,527.43892825534158,0.0
1562,0,48371.900000000001,9342.9346875313095,1161.5082562814071,-8181.4264312499045,0.0,1295.582837953637,250.23920576382747,24.70959613555673,230.75687916841358,0.0
1562,1e-05,48318.0,9332.5240115053948,1169.3210904522612,-8163.2029210531355,0.0,1677.5249029448116,324.01054341302864,14.56368446644872,317.44594094347462,0.0
2072,0.1,81419.199999999997,15725.953868073184,1650.1604522613065,-14075.793415811879,0.2461389961389962,3424.6512172774619,661.46445871669164,52.931280875445353,610.60727007073933,5.5511151231257827e-17
2582,0.2,92511.0,17868.312612864269,1867.2463216080403,-16001.066291256231,0.39504260263361735,4687.6819858006575,905.41629808323944,66.342414808439003,841.26686590692611,0.0
3092,0.3,102078.5,19716.255894458664,2035.5629195979898,-17680.692974860671,0.49482535575679176,4573.9877623360562,883.45648868606099,71.559423716778412,819.45544429841084,5.5511151231257827e-17
3602,0.4,108756.2,21006.04014860059,2109.3798291457288,-18896.660319454859,0.56635202665186024,4562.181842057591,881.1761990532799,73.258541856338397,811.95850180298419,1.1102230246251565e-16
4112,0.5,114481.10000000001,22111.793009097037,2224.8461758793974,-19886.946833217637,0.62013618677042803,6811.2545019254712,1315.5800361706547,107.21778526016702,1212.6664521465409,0.0
4622,0.6,114791.7,22171.784771131337,2239.8908743718594,-19931.89389675948,0.66205106014712256,5300.3270097230788,1023.7474458187683,75.472771530131595,951.73631759196348,1.1102230246251565e-16
5100,0.7,119882.7,23155.101128235816,2311.6382110552763,-20843.462917180535,0.70000000000000007,5058.5697197923446,977.05251404934381,55.554668405590427,929.02927308866083,1.1102230246251565e-16
5100,0.8,122984.10000000001,23754.130267879071,2376.7763316582914,-21377.353936220774,0.79999999999999993,2258.5366257822784,436.23178299965815,32.940735532678985,418.12501722344939,1.1102230246251565e-16
5100,0.9,132022.5,25499.87895419867,2511.1400653266332,-22988.738888872038,0.90000000000000013,3667.7311583593473,708.41485788184798,53.327964624383988,671.73109435455672,1.1102230246251565e-16
5100,1,132644.0,25619.920422660743,2589.2226331658289,-23030.697789494916,1.0,2392.6606111189276,462.13755959788426,21.961343246453634,458.66864332667461,0.0
1562,0,48471.400000000001,9362.1529113639372,1177.7092964824121,-8184.4436148815248,0.0,1900.4321192823488,367.06462157867884,24.360232676726302,347.61824669463493,0.0
1562,1e-05,48451.699999999997,9358.3478961930559,1173.8231658291456,-8184.5247303639098,0.0,1356.867425358867,262.07619991703154,25.835541503863571,242.73313192508064,0.0
2172,0.1,81801.699999999997,15799.832969741319,1683.7926984924623,-14116.040271248854,0.28084714548802941,4593.1859977579843,887.16458904314652,59.427246362982551,830.87861101391923,5.5511151231257827e-17
2782,0.2,96639.100000000006,18665.646781743264,1922.7902763819097,-16742.856505361357,0.43853342918763472,7247.5440453991041,1399.8484794099529,95.567096854437622,1306.7355267025041,5.5511151231257827e-17
3392,0.3,104202.3,20126.463570596647,2065.2434974874368,-18061.220073109209,0.53950471698113212,3489.5553312707339,674.00055711247944,63.012819117691102,634.76229438289715,0.0
4002,0.4,111855.10000000001,21604.586418298299,2181.5147035175878,-19423.071714780712,0.60969515242378802,4909.8431431156732,948.32627645705861,61.638826903285384,891.73643380421447,1.1102230246251565e-16
4612,0.5,118259.10000000001,22841.506070802141,2280.1686582914576,-20561.337412510686,0.66131830008673032,4410.3803339394663,851.8560446699214,71.396540932745495,783.64293345326541,0.0
5222,0.6,119238.5,23030.6752006682,2299.044125628141,-20731.631075040066,0.70088088854844888,3033.3559055936712,585.88656037904411,46.165321692377155,556.09674225325455,0.0
5832,0.7,123074.7,23771.629474705562,2349.4060753768845,-21422.223399328679,0.73216735253772292,3053.7480266059938,589.82525732413717,31.137443311292646,565.81213534628614,0.0
6100,0.8,124622.3,24070.545285794717,2371.7306633165826,-21698.81462247813,0.79999999999999993,2445.4571781161903,472.33510977022189,37.132344030359278,445.53533736946753,1.1102230246251565e-16
6100,0.9,128176.3,24756.993200379136,2478.8029296482414,-22278.190270730898,0.90000000000000013,3884.3765020914229,750.25946801389864,34.875856716322424,718.42204068502303,1.1102230246251565e-16
6100,1,132755.79999999999,25641.514366625441,2587.9986633165827,-23053.515703308862,1.0,3569.6630597298677,689.47320290394441,30.561103657093046,662.75390688335756,0.0
1562,0,48547.0,9376.7548985171688,1166.8273165829146,-8209.9275819342529,0.0,1136.9958663073494,219.60845281873677,20.762839674009058,203.10894628191113,0.0
1562,1e-05,47623.800000000003,9198.4406850269188,1145.2119447236182,-8053.2287403033015,0.0,1253.054970861215,242.02503421703068,19.496269199443784,237.45171579575646,0.0
2272,0.1,87909.300000000003,16979.503561501537,1760.3933969849247,-15219.110164516615,0.3125,2735.046107472413,528.26862598950004,39.140672157328233,498.72877794501267,0.0
2982,0.2,100897.89999999999,19488.225391375272,1986.5119798994979,-17501.713411475776,0.47619047619047616,5981.0122629869265,1155.2204262890382,90.817949879527134,1070.2276504094134,0.0
3692,0.3,110194.89999999999,21283.922144861874,2165.1797989949746,-19118.7423458669,0.57692307692307676,5331.28152417409,1029.7262477016795,75.87559076177682,956.71584741492768,1.1102230246251565e-16
